Geography,Geographic Area Name,Estimate!!Number!!HOUSEHOLD INCOME!!All households
55001,"Adams County, Wisconsin",8783
55003,"Ashland County, Wisconsin",6624
55005,"Barron County, Wisconsin",18969
55007,"Bayfield County, Wisconsin",7358
55009,"Brown County, Wisconsin",107772
55011,"Buffalo County, Wisconsin",5550
55013,"Burnett County, Wisconsin",6990
55015,"Calumet County, Wisconsin",20467
55017,"Chippewa County, Wisconsin",26056
55019,"Clark County, Wisconsin",12591
55021,"Columbia County, Wisconsin",24016
55023,"Crawford County, Wisconsin",6508
55025,"Dane County, Wisconsin",236036
55027,"Dodge County, Wisconsin",35291
55029,"Door County, Wisconsin",13612
55031,"Douglas County, Wisconsin",18865
55033,"Dunn County, Wisconsin",17277
55035,"Eau Claire County, Wisconsin",41976
55037,"Florence County, Wisconsin",2076
55039,"Fond du Lac County, Wisconsin",42151
55041,"Forest County, Wisconsin",3660
55043,"Grant County, Wisconsin",19775
55045,"Green County, Wisconsin",15392
55047,"Green Lake County, Wisconsin",7987
55049,"Iowa County, Wisconsin",9749
55051,"Iron County, Wisconsin",2801
55053,"Jackson County, Wisconsin",7950
55055,"Jefferson County, Wisconsin",33861
55057,"Juneau County, Wisconsin",10363
55059,"Kenosha County, Wisconsin",65877
55061,"Kewaunee County, Wisconsin",8104
55063,"La Crosse County, Wisconsin",49603
55065,"Lafayette County, Wisconsin",6667
55067,"Langlade County, Wisconsin",8404
55069,"Lincoln County, Wisconsin",12055
55071,"Manitowoc County, Wisconsin",34834
55073,"Marathon County, Wisconsin",56218
55075,"Marinette County, Wisconsin",18344
55077,"Marquette County, Wisconsin",6688
55078,"Menominee County, Wisconsin",1251
55079,"Milwaukee County, Wisconsin",387392
55081,"Monroe County, Wisconsin",17733
55083,"Oconto County, Wisconsin",16352
55085,"Oneida County, Wisconsin",15724
55087,"Outagamie County, Wisconsin",75847
55089,"Ozaukee County, Wisconsin",36889
55091,"Pepin County, Wisconsin",3058
55093,"Pierce County, Wisconsin",15860
55095,"Polk County, Wisconsin",18263
55097,"Portage County, Wisconsin",29041
55099,"Price County, Wisconsin",6576
55101,"Racine County, Wisconsin",79040
55103,"Richland County, Wisconsin",7157
55105,"Rock County, Wisconsin",66030
55107,"Rusk County, Wisconsin",6063
55109,"St. Croix County, Wisconsin",35387
55111,"Sauk County, Wisconsin",26850
55113,"Sawyer County, Wisconsin",7932
55115,"Shawano County, Wisconsin",16732
55117,"Sheboygan County, Wisconsin",48751
55119,"Taylor County, Wisconsin",7691
55121,"Trempealeau County, Wisconsin",12201
55123,"Vernon County, Wisconsin",11833
55125,"Vilas County, Wisconsin",10550
55127,"Walworth County, Wisconsin",42018
55129,"Washburn County, Wisconsin",7084
55131,"Washington County, Wisconsin",55807
55133,"Waukesha County, Wisconsin",164141
55135,"Waupaca County, Wisconsin",22173
55137,"Waushara County, Wisconsin",9886
55139,"Winnebago County, Wisconsin",71416
55141,"Wood County, Wisconsin",31790